"住所CD"	"都道府県CD"	"市区町村CD"	"町域CD"	"郵便番号"	"事業所フラグ"	"廃止フラグ"	"都道府県"	"都道府県カナ"	"市区町村"	"市区町村カナ"	"町域"	"町域カナ"	"町域補足"	"京都通り名"	"字丁目"	"字丁目カナ"	"補足"	"事業所名"	"事業所名カナ"	"事業所住所"	"新住所CD"
60000000	1	1101	11010000	"060-0000"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"		"　"	"（該当なし）"								
64856500	1	1101	11010000	"064-8565"	1	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"		"　"	"（該当なし）"					"北海道トラック交通共済協同組合"	"ホツカイドウトラツクコウツウキヨウサイキヨウドウクミアイ"	"南９条西１丁目１番１１号"	
60840600	1	1101	11010000	"060-8406"	1	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"		"　"	"（該当なし）"					"北海道テレビ放送　株式会社"	"ホツカイドウテレビホウソウ　カブシキカイシヤ"	"北１条西１丁目６番地"	
60855200	1	1101	11010000	"060-8552"	1	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"		"　"	"（該当なし）"					"損害保険ジャパン日本興亜　株式会社"	"ソンガイホケンジヤパンニツポンコウア　カブシキガイシヤ"	"北１条西６丁目２番地損保ジャパン日本興亜札幌ビル"	
64863300	1	1101	11010000	"064-8633"	1	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"		"　"	"（該当なし）"					"株式会社　ビッグ"	"カブシキガイシヤ　ビツグ"	"南４条西７丁目６番地ビッググループ本社ビル"	
60872100	1	1101	11010000	"060-8721"	1	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"		"　"	"（該当なし）"					"大丸　株式会社　紙包材営業本部"	"ダイマル　カブシキガイシヤ　カミホウザイエイギヨウホンブ"	"北３条西１４丁目２番"	
60850400	1	1101	11010000	"060-8504"	1	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"		"　"	"（該当なし）"					"富士通　株式会社　北海道支社"	"フジツウ　カブシキガイシヤ　ホツカイドウシシヤ"	"北２条西４丁目１番地札幌三井ＪＰビルディング"	
60860200	1	1101	11010000	"060-8602"	1	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"		"　"	"（該当なし）"					"株式会社　朝日新聞社　北海道支社"	"カブシキカイシヤ　アサヒシンブンシヤ　ホツカイドウシシヤ"	"北１条西１丁目６番地さっぽろ創生スクエア９階"	
64094100	1	1101	11010001	"064-0941"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"旭ケ丘"	"アサヒガオカ"									
64853500	1	1101	11010001	"064-8535"	1	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"旭ケ丘"	"アサヒガオカ"						"北海道　札幌旭丘高等学校"	"ホツカイドウ　サツポロアサヒオカコウトウガツコウ"	"旭ケ丘６丁目５番１８号"	
64857500	1	1101	11010001	"064-8575"	1	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"旭ケ丘"	"アサヒガオカ"						"社会福祉法人　札幌慈啓会　慈啓会病院"	"シヤカイフクシホウジン　サツポロジケイカイ　ジケイカイビヨウイン"	"旭ケ丘５丁目６番５０号"	
60004200	1	1101	11010002	"060-0042"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"１丁目"	"０１チョウメ"					
60004201	1	1101	11010002	"060-0042"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"２丁目"	"０２チョウメ"					
60004202	1	1101	11010002	"060-0042"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"３丁目"	"０３チョウメ"					
60004203	1	1101	11010002	"060-0042"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"４丁目"	"０４チョウメ"					
60004204	1	1101	11010002	"060-0042"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"５丁目"	"０５チョウメ"					
60004205	1	1101	11010002	"060-0042"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"６丁目"	"０６チョウメ"					
60004206	1	1101	11010002	"060-0042"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"７丁目"	"０７チョウメ"					
60004207	1	1101	11010002	"060-0042"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"８丁目"	"０８チョウメ"					
60004208	1	1101	11010002	"060-0042"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"９丁目"	"０９チョウメ"					
60004209	1	1101	11010002	"060-0042"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"１０丁目"	"１０チョウメ"					
60004210	1	1101	11010002	"060-0042"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"１１丁目"	"１１チョウメ"					
60004211	1	1101	11010002	"060-0042"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"１２丁目"	"１２チョウメ"					
60004212	1	1101	11010002	"060-0042"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"１３丁目"	"１３チョウメ"					
60004213	1	1101	11010002	"060-0042"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"１４丁目"	"１４チョウメ"					
60004214	1	1101	11010002	"060-0042"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"１５丁目"	"１５チョウメ"					
60004215	1	1101	11010002	"060-0042"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"１６丁目"	"１６チョウメ"					
60004216	1	1101	11010002	"060-0042"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"１７丁目"	"１７チョウメ"					
60004217	1	1101	11010002	"060-0042"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"１８丁目"	"１８チョウメ"					
60004218	1	1101	11010002	"060-0042"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"１９丁目"	"１９チョウメ"					
64082000	1	1101	11010002	"064-0820"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"２０丁目"	"２０チョウメ"					
64082001	1	1101	11010002	"064-0820"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"２１丁目"	"２１チョウメ"					
64082002	1	1101	11010002	"064-0820"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"２２丁目"	"２２チョウメ"					
64082003	1	1101	11010002	"064-0820"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"２３丁目"	"２３チョウメ"					
64082004	1	1101	11010002	"064-0820"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"２４丁目"	"２４チョウメ"					
64082005	1	1101	11010002	"064-0820"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"２５丁目"	"２５チョウメ"					
64082006	1	1101	11010002	"064-0820"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"２６丁目"	"２６チョウメ"					
64082007	1	1101	11010002	"064-0820"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"２７丁目"	"２７チョウメ"					
64082008	1	1101	11010002	"064-0820"	0	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"			"２８丁目"	"２８チョウメ"					
60863200	1	1101	11010002	"060-8632"	1	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"						"前田建設工業　株式会社　北海道支店"	"マエダケンセツコウギヨウ　カブシキガイシヤ　ホツカイドウシテン"	"大通西７丁目１番１号井門札幌パークフロントビル８階"	
60853100	1	1101	11010002	"060-8531"	1	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"						"東京海上日動火災保険　株式会社"	"トウキヨウカイジヨウニチドウカサイホケン　カブシキガイシヤ"	"大通西３丁目７番地北洋大通センター１５Ｆ～１７Ｆ"	
60867000	1	1101	11010002	"060-8670"	1	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"						"北海道信用保証協会"	"ホツカイドウシンヨウホシヨウキヨウカイ"	"大通西１４丁目１"	
60852300	1	1101	11010002	"060-8523"	1	0	"北海道"	"ホッカイドウ"	"札幌市中央区"	"サッポロシチュウオウク"	"大通西"	"オオドオリニシ"						"札幌日産自動車　株式会社"	"サツポロニツサンジドウシヤ　カブシキガイシヤ"	"大通西１７丁目１番地２３"	
